saturation,jig_type_dist,n_flights
20.0,1.0,8.0
20.0,0.0,23.0
20.0,2.0,89.0
50.0,1.0,40.0
20.0,2.0,4.0
20.0,2.0,80.0
20.0,1.0,132.0
80.0,0.0,3.0
50.0,2.0,7.0
80.0,1.0,127.0
80.0,0.0,30.0
20.0,1.0,28.0
20.0,0.0,162.0
80.0,0.0,189.0
20.0,0.0,141.0
80.0,2.0,178.0
50.0,0.0,29.0
20.0,1.0,3.0
80.0,0.0,95.0
20.0,1.0,14.0
50.0,0.0,38.0
80.0,2.0,24.0
20.0,0.0,60.0
80.0,2.0,4.0
50.0,2.0,63.0
20.0,0.0,27.0
50.0,1.0,46.0
20.0,1.0,12.0
20.0,0.0,18.0
80.0,2.0,7.0
50.0,2.0,25.0
50.0,1.0,172.0
20.0,0.0,3.0
50.0,1.0,5.0
50.0,2.0,22.0
20.0,0.0,88.0
50.0,1.0,13.0
20.0,1.0,138.0
80.0,2.0,73.0
20.0,2.0,100.0
80.0,2.0,115.0
80.0,2.0,6.0
20.0,0.0,57.0
50.0,1.0,194.0
80.0,0.0,188.0
20.0,1.0,6.0
20.0,0.0,66.0
50.0,1.0,25.0
80.0,1.0,10.0
80.0,2.0,86.0
20.0,2.0,7.0
80.0,1.0,81.0
20.0,0.0,18.0
80.0,2.0,114.0
80.0,0.0,31.0
50.0,1.0,16.0
80.0,2.0,76.0
80.0,0.0,30.0
50.0,1.0,70.0
50.0,1.0,52.0
20.0,2.0,45.0
80.0,0.0,90.0
80.0,2.0,99.0
50.0,2.0,116.0
20.0,2.0,62.0
20.0,2.0,9.0
50.0,2.0,144.0
50.0,2.0,192.0
50.0,2.0,120.0
80.0,1.0,146.0
80.0,1.0,17.0
20.0,1.0,153.0
80.0,0.0,67.0
80.0,0.0,169.0
20.0,0.0,110.0
80.0,0.0,182.0
50.0,0.0,36.0
20.0,2.0,77.0
50.0,2.0,70.0
80.0,2.0,4.0
50.0,1.0,170.0
50.0,0.0,68.0
80.0,1.0,19.0
80.0,1.0,98.0
50.0,1.0,3.0
50.0,1.0,40.0
80.0,1.0,56.0
50.0,2.0,51.0
50.0,0.0,147.0
20.0,2.0,10.0
80.0,1.0,32.0
50.0,1.0,103.0
20.0,2.0,22.0
20.0,1.0,26.0
20.0,0.0,5.0
50.0,2.0,4.0
20.0,2.0,199.0
20.0,2.0,91.0
50.0,2.0,196.0
20.0,0.0,17.0
80.0,1.0,3.0
20.0,1.0,136.0
20.0,0.0,4.0
50.0,2.0,14.0
20.0,2.0,15.0
80.0,2.0,92.0
50.0,1.0,65.0
20.0,2.0,46.0
80.0,0.0,35.0
80.0,0.0,12.0
20.0,2.0,52.0
